193 -13 13 74
233 100 21 21 21 21

Coordinates
1           19           13            0
2         17.5           13            0
3           19       10.833            0
4           19           13          2.5
5         17.5       10.833            0
6         17.5           13          2.5
7           16           13            0
8           19       10.833          2.5
9         17.5       10.833          2.5
10           16         10.5            0
11           16           13          2.5
12           19       8.6667            0
13           16         10.5          2.5
14         17.5       8.3333            0
15           19           13            5
16           19       8.6667          2.5
17         17.5           13            5
18           19       10.833            5
19         17.5       8.3333          2.5
20         17.5       10.833            5
21        18.15       7.4389       1.2329
22           16           13            5
23           16            8            0
24           16            8          2.5
25           16         10.5            5
26        16.65       7.1056       1.2329
27           19          6.5            0
28           19       8.6667            5
29        18.15       7.4389       3.7329
30           19          6.5          2.5
31         17.5       6.1667            0
32         17.5       8.3333            5
33           16          6.5            0
34         14.9       7.2523       1.2925
35       13.833            8            0
36        16.65       7.1056       3.7329
37         17.3       6.2111       2.4658
38       13.833            8          2.5
39           16            8            5
40        16.65       5.6056       1.2329
41        18.15       5.2722       1.2329
42        15.55       6.3579       2.5254
43         14.9       7.2523       3.7925
44           19          6.5            5
45       13.833          6.5            0
46         14.9       5.7523       1.2925
47         17.5       4.6667            0
48           16            5            0
49         17.5       6.1667            5
50       12.733       7.2523       1.2925
51        16.65       5.6056       3.7329
52        18.15       5.2722       3.7329
53           19       4.3333            0
54         13.8       6.5046       2.5849
55           16          6.5            5
56       13.833            8            5
57         17.5       4.6667          2.5
58       11.667            8            0
59           16            5          2.5
60           19       4.3333          2.5
61         14.9       5.7523       3.7925
62       11.667            8          2.5
63       12.733       7.2523       3.7925
64       13.833            5            0
65       16.723       3.7156        1.048
66       12.733       5.7523       1.2925
67       13.833          6.5            5
68       18.223       3.3822        1.048
69       11.667          6.5            0
70         17.5       4.6667            5
71       13.833            5          2.5
72           16            5            5
73           19       4.3333            5
74       11.667            8            5
75       16.723       3.7156        3.548
76       18.223       3.3822        3.548
77       11.412       6.5017       2.5109
78       12.733       5.7523       3.7925
79       10.345       7.2494       1.2185
80          9.5            8            0
81       13.833            5            5
82           19       2.1667            0
83       11.667            5            0
84       17.445       2.4311       2.0959
85           16          2.5            0
86         17.5       2.1667            0
87       11.667          6.5            5
88          9.5            8          2.5
89       10.345       7.2494       3.7185
90           19       2.1667          2.5
91       11.667            5          2.5
92           16          2.5          2.5
93       10.345       5.7494       1.2185
94          9.5          6.5            0
95          9.5            8            5
96       18.223       1.2156        1.048
97       10.345       5.7494       3.7185
98           19       2.1667            5
99       11.667            5            5
100           16          2.5            5
101         17.5       2.1667            5
102       16.723       1.2156        1.048
103       9.0233       6.4988        2.437
104       8.1783       7.2494       1.2185
105       18.223       1.2156        3.548
106          9.5            5            0
107       16.723       1.2156        3.548
108          9.5          6.5            5
109          9.5            5          2.5
110       7.3333            8            0
111       8.1783       7.2494       3.7185
112       7.3333            8          2.5
113           19            0            0
114       8.1783       5.7494       1.2185
115         17.5            0            0
116           19            0          2.5
117         17.5            0          2.5
118           16            0            0
119       7.3333          6.5            0
120          9.5            5            5
121       8.1783       5.7494       3.7185
122           16            0          2.5
123       7.3333            8            5
124       7.1689        6.509       2.5141
125           19            0            5
126       6.3239       7.2596       1.2956
127         17.5            0            5
128       7.3333            5            0
129           16            0            5
130       7.3333          6.5            5
131       7.3333            5          2.5
132       6.3239       7.2596       3.7956
133       6.3239       5.7596       1.2956
134       5.1667            8            0
135       5.1667            8          2.5
136       7.3333            5            5
137       6.3239       5.7596       3.7956
138       5.1667          6.5            0
139       5.3145       6.5193       2.5913
140       5.1667            8            5
141       4.1573       7.2596       1.2956
142       5.1667            5            0
143            3           13            0
144       5.1667          6.5            5
145       5.1667            5          2.5
146            3         10.5            0
147            3           13          2.5
148       4.1573       7.2596       3.7956
149            3         10.5          2.5
150       4.1573       5.7596       1.2956
151       5.1667            5            5
152            3           13            5
153            3            8            0
154       3.5979         6.59       2.5882
155       4.1573       5.7596       3.7956
